['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'barrier', '', 'barrier', '', '']
['', 'crack', '', '', '', 'crack']
['', 'penguin', '', 'penguin', '', '']
['', 'bike', '', '', '', 'bike']
['', '', 'barrier', '', '', 'barrier']
['', '', '', '', '', '']
['', '', 'penguin', 'penguin', '', '']
['barrier', '', '', '', '', 'barrier']
['', 'water', '', 'water', '', '']
['', '', '', '', '', '']
['', '', 'barrier', 'barrier', '', '']
['', '', '', '', '', '']
['', 'water', '', '', '', 'water']
['trash', '', '', '', '', 'trash']
['penguin', '', '', '', 'penguin', '']
['', '', 'barrier', '', 'barrier', '']
['', 'bike', '', 'bike', '', '']
['', '', 'water', 'water', '', '']
['', '', '', '', '', '']
['', 'bike', '', '', '', 'bike']
['', '', 'penguin', 'penguin', '', '']
['crack', '', '', 'crack', '', '']
['penguin', '', '', '', 'penguin', '']
['barrier', '', '', 'barrier', '', '']
['', 'trash', '', '', '', 'trash']
['trash', '', '', '', '', 'trash']
['crack', '', '', '', '', 'crack']
['barrier', '', '', 'barrier', '', '']
['', '', 'crack', '', 'crack', '']
['', '', 'penguin', '', '', 'penguin']
['bike', '', '', '', '', 'bike']
['', '', 'bike', '', '', 'bike']
['', 'barrier', '', '', '', 'barrier']
['', '', 'penguin', '', 'penguin', '']
['', '', '', '', '', '']
['', 'water', '', '', 'water', '']
['', 'trash', '', '', 'trash', '']
['trash', '', '', 'trash', '', '']
['bike', '', '', 'bike', '', '']
['', '', '', '', '', '']
['', 'trash', '', 'trash', '', '']
['water', '', '', '', 'water', '']
['trash', '', '', '', 'trash', '']
['crack', '', '', '', '', 'crack']
['', '', 'water', 'water', '', '']
['crack', '', '', '', '', 'crack']
['', '', 'crack', 'crack', '', '']
['water', '', '', 'water', '', '']
['', '', 'barrier', '', 'barrier', '']
['', '', 'barrier', 'barrier', '', '']
['trash', '', '', '', 'trash', '']
['', 'penguin', '', '', 'penguin', '']
['', '', 'trash', 'trash', '', '']
['', 'crack', '', 'crack', '', '']
['', 'trash', '', 'trash', '', '']
['bike', '', '', '', 'bike', '']
['', '', '', '', '', '']
['trash', '', '', '', '', 'trash']
['', '', 'penguin', 'penguin', '', '']
