['', '', '', '', 'barrier', '']
['', '', 'water', 'water', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['trash', '', '', '', '', 'trash']
['', '', '', '', '', '']
['', '', 'trash', 'trash', '', '']
['', '', 'crack', '', 'crack', '']
['', '', 'water', '', 'water', '']
['', 'penguin', '', '', 'penguin', '']
['barrier', '', '', 'barrier', '', '']
['bike', '', '', '', 'bike', '']
['', '', '', '', '', '']
['water', '', '', '', '', 'water']
['', '', 'trash', 'trash', '', '']
['', '', 'bike', '', '', 'bike']
['', 'penguin', '', 'penguin', '', '']
['penguin', '', '', 'penguin', '', '']
['', 'crack', '', '', '', 'crack']
['trash', '', '', '', 'trash', '']
['', '', '', '', '', '']
['', 'bike', '', 'bike', '', '']
['', '', '', '', '', '']
['penguin', '', '', 'penguin', '', '']
['', '', 'barrier', 'barrier', '', '']
['bike', '', '', '', 'bike', '']
['', '', 'water', '', 'water', '']
['barrier', '', '', 'barrier', '', '']
['', 'crack', '', '', 'crack', '']
['bike', '', '', 'bike', '', '']
['', '', 'penguin', '', 'penguin', '']
['trash', '', '', '', '', 'trash']
['', '', 'crack', 'crack', '', '']
['trash', '', '', '', '', 'trash']
['crack', '', '', '', '', 'crack']
['bike', '', '', '', 'bike', '']
['', '', 'water', 'water', '', '']
['penguin', '', '', '', '', 'penguin']
['', '', 'barrier', '', '', 'barrier']
['barrier', '', '', '', 'barrier', '']
['', '', 'penguin', '', 'penguin', '']
['', '', 'bike', '', '', 'bike']
['', '', 'penguin', 'penguin', '', '']
['', 'barrier', '', 'barrier', '', '']
['', '', 'crack', '', '', 'crack']
['trash', '', '', '', 'trash', '']
['', '', '', '', '', '']
['', 'barrier', '', '', 'barrier', '']
['penguin', '', '', 'penguin', '', '']
['', '', 'crack', 'crack', '', '']
['', 'trash', '', '', 'trash', '']
['trash', '', '', '', 'trash', '']
['', 'water', '', 'water', '', '']
['', '', 'barrier', '', 'barrier', '']
['', '', 'penguin', '', 'penguin', '']
['bike', '', '', '', '', 'bike']
['', 'trash', '', 'trash', '', '']
['', 'bike', '', '', '', 'bike']
['', '', 'water', '', '', 'water']
